ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А73-5275/2018,0,0,0,1,1,1,0,2,16,355,1,0,0,0,1,0,0,0
А62-3295/2018,0,1,1,1,0,0,0,1,6,68,0,1,0,0,0,1,1,15000.00
А36-13833/2017,0,0,0,0,1,0,0,1,9,404,1,0,0,0,1,0,0,0
А43-34710/2017,0,1,0,0,1,0,0,0,10,256,0,0,0,0,1,0,0,737500.00
А41-24151/18,1,1,1,1,1,0,0,3,8,239,1,0,1,0,0,1,1,5135363.63
А59-6163/2017,1,1,1,0,1,0,0,1,9,224,0,1,0,0,0,1,1,20000.00
А13-825/2018,1,0,1,1,1,0,0,2,16,312,2,1,0,0,0,1,0,0
А60-47776/2017,0,1,1,1,1,0,0,1,6,514,2,0,0,0,1,0,1,6408525.01
А33-13699/2018,1,1,0,1,1,0,0,2,10,42,0,1,0,0,0,1,0,687080.00
А25-1365/2017,0,0,1,1,1,1,0,0,32,474,2,0,1,0,0,1,1,0
А69-1210/2018,0,1,1,1,1,0,0,2,12,223,3,0,0,1,0,1,0,737500.00
А83-20140/2017,0,0,0,1,1,1,0,1,5,349,1,0,0,1,0,1,1,0
А43-7375/2018,0,0,0,0,1,1,0,0,7,311,1,0,0,0,1,0,1,0
